user_id,joke_id,rating
1,5,4.0
1,7,1.0
1,8,4.5
1,13,0.5
1,15,1.5
1,16,3.0
1,18,2.0
1,20,4.0
1,44,4.0
1,51,3.5
1,55,4.5
1,57,4.5
1,89,4.5
1,36,4.5
1,27,5.0
1,62,5.0
1,35,5.0
1,66,5.0
1,93,5.0
1,69,5.0
1,68,5.0
1,76,5.0
1,91,5.0
1,48,4.5
1,61,5.0
1,28,4.5
1,88,5.0
1,38,5.0
1,31,3.5
1,96,4.5
1,47,5.0
1,92,5.0
1,45,4.0
1,39,2.5
1,40,4.5
1,87,5.0
1,78,3.0
1,94,4.0
1,95,5.0
1,63,4.5
1,84,3.5
1,82,4.0
1,23,5.0
1,25,2.5
1,70,4.0
1,86,4.5
1,90,4.5
1,80,5.0
1,77,3.5
1,121,2.5
1,104,3.5
1,101,3.0
1,103,3.5
1,125,3.5
1,117,4.0
1,111,4.0
1,109,4.0
1,122,4.5
1,123,4.5
1,114,5.0
1,110,4.5
1,115,4.0
1,59,4.0
1,124,4.0
1,131,4.0
1,113,4.0
1,130,2.5
1,108,3.5
1,128,4.0
1,60,4.0
1,133,3.5
1,107,4.0
1,134,5.0
1,135,4.0
1,136,4.0
1,137,4.5
1,138,2.0
1,139,2.0
1,140,4.0
1,141,4.0
1,142,4.5
1,143,5.0
1,144,4.5
1,146,4.5
1,147,4.0
1,149,4.0
1,150,4.5
1,37,3.0
1,105,4.5
1,118,4.5
1,120,4.5
1,99,4.0
1,58,4.0
1,64,5.0
1,79,4.5
1,24,4.5
1,85,2.0
1,75,3.0
1,30,4.0
1,71,4.0
1,74,4.0
1,33,2.0
1,112,4.5
1,102,4.5
2,5,4.0
2,7,4.0
2,8,1.5
2,13,1.0
2,15,4.0
2,16,3.0
2,18,4.0
2,20,3.5
2,128,2.5
2,130,5.0
2,62,5.0
2,35,5.0
2,36,4.0
2,23,4.0
2,27,4.5
2,89,5.0
2,24,4.0
2,30,3.5
2,68,5.0
2,69,4.5
